  1 ,    2.94
  2 ,    2.72
  3 ,    3.00
  4 ,    1.33
  5 ,    2.02
  6 ,    1.01
  7 ,    2.12
  8 ,    3.61
  9 ,    1.00
 10 ,    4.18
 11 ,    3.63
 12 ,    3.41
  1 ,    4.49
  2 ,    0.54
  3 ,    2.28
  4 ,    1.67
  5 ,    3.98
  6 ,    0.09
  7 ,    2.76
  8 ,    3.09
  9 ,    5.78
 10 ,    5.16
 11 ,    0.78
 12 ,    7.24
  1 ,    6.96
  2 ,    2.57
  3 ,    0.83
  4 ,    1.55
  5 ,    3.29
  6 ,    2.31
  7 ,    2.26
  8 ,    3.41
  9 ,    5.00
 10 ,    4.74
 11 ,    3.66
 12 ,    2.50
  1 ,    3.46
  2 ,    1.34
  3 ,    0.67
  4 ,    1.77
  5 ,    1.46
  6 ,    2.09
  7 ,    2.15
  8 ,    3.94
  9 ,    3.18
 10 ,    5.19
 11 ,    6.15
 12 ,    2.83
  1 ,    2.31
  2 ,    4.36
  3 ,    1.35
  4 ,    2.17
  5 ,    3.26
  6 ,    2.70
  7 ,    5.14
  8 ,    1.65
  9 ,    2.41
 10 ,    2.63
 11 ,    1.37
 12 ,    4.57
  1 ,    5.43
  2 ,    3.09
  3 ,    1.14
  4 ,    1.22
  5 ,    2.33
  6 ,    3.13
  7 ,    2.46
  8 ,    4.79
  9 ,    4.06
 10 ,    1.61
 11 ,    6.00
 12 ,    4.20
  1 ,    4.84
  2 ,    2.12
  3 ,    7.52
  4 ,    3.37
  5 ,    3.90
  6 ,    2.65
  7 ,    2.08
  8 ,    0.80
  9 ,    2.74
 10 ,    1.18
 11 ,    3.94
 12 ,    3.66
  1 ,    6.59
  2 ,    2.24
  3 ,    2.04
  4 ,    1.43
  5 ,    1.76
  6 ,    2.34
  7 ,    4.06
  8 ,    4.03
  9 ,    3.07
 10 ,    3.44
 11 ,    3.76
 12 ,    6.93
  1 ,    1.73
  2 ,    1.44
  3 ,    1.75
  4 ,    2.94
  5 ,    2.67
  6 ,    0.97
  7 ,    1.77
  8 ,    2.33
  9 ,    1.11
 10 ,    7.13
 11 ,    5.81
 12 ,    4.54
  1 ,    1.18
  2 ,    6.96
  3 ,    2.26
  4 ,    3.34
  5 ,    2.38
  6 ,    1.59
  7 ,    2.50
  8 ,    6.23
  9 ,    8.22
 10 ,    3.62
 11 ,    6.70
 12 ,    4.70
  1 ,    3.52
  2 ,    3.66
  3 ,    4.43
  4 ,    3.04
  5 ,    2.59
  6 ,    1.07
  7 ,    3.07
  8 ,    5.37
  9 ,    4.41
 10 ,    1.39
 11 ,    6.65
 12 ,    5.57
  1 ,    4.83
